Word,Meaning,PartOfSpeech,Example,ExampleChinese,Synonyms,Root,Level,Deck
nonsense,胡說八道,n.,That is complete nonsense.,那完全是胡說八道。,rubbish,non+sense,B1,字首-non
nonstop,不停的；不斷的,adj.,We took a nonstop flight to Tokyo.,我們乘坐直飛東京的航班。,continuous,non+stop,A2,字首-non
nonverbal,不用言辭表達的,adj.,Nonverbal communication is very powerful.,非語言溝通非常有力量。,,non+verbal,B2,字首-non
forecast,預言；預測；預報,vt./n.,The forecast says it will rain tomorrow.,預報說明天會下雨。,predict,fore+cast=throw,B1,字首-fore
forefather,祖先；祖宗,n.,Our forefathers built this country.,我們的祖先建立了這個國家。,ancestor,fore+father,B2,字首-fore
forerunner,前鋒；前兆；祖先,n.,He was a forerunner in modern art.,他是現代藝術的先驅。,pioneer,fore+runner,C1,字首-fore
foresee,先見；預知,vt.,Nobody could foresee the pandemic.,沒有人能預見這場疫情。,predict,fore+see,B2,字首-fore
foreword,前言,n.,The author wrote a short foreword.,作者寫了一篇簡短的前言。,preface,fore+word,B2,字首-fore
predict,預言；預測,vt.,Scientists predict climate change will worsen.,科學家預測氣候變化將惡化。,forecast,pre+dict=speak,B1,字首-pre
preserve,保存；防腐,vt.,We must preserve the environment.,我們必須保護環境。,protect,pre+serve=keep,B2,字首-pre
prevent,阻止；預防,vt.,Wash your hands to prevent illness.,洗手以預防疾病。,stop,pre+vent=come,B1,字首-pre
preview,預習,vt.,Preview the chapter before class.,上課前預習章節。,review,pre+view,B1,字首-pre
previous,先前的,adj.,Did you finish the previous assignment?,你完成了之前的作業嗎？,earlier,pre+via=road,B1,字首-pre
promote,推廣；晉升,vt.,The company promotes healthy eating.,公司推廣健康飲食。,advance,pro+mote=move,B1,字首-pro
promotion,推廣；晉升（名詞）,n.,She received a promotion at work.,她在工作中獲得晉升。,advancement,pro+motion,B1,字首-pro
pronounce,發（音）；讀（音）,vt.,How do you pronounce this word?,這個字怎麼發音？,articulate,pro+nounce=say,A2,字首-pro
protect,保護,vt.,Wear sunscreen to protect your skin.,擦防曬霜保護皮膚。,guard,pro+tect=cover,A2,字首-pro
protection,保護（名詞）,n.,Children need protection from harm.,孩子需要保護免受傷害。,defense,pro+tection,B1,字首-pro
proverb,諺語；格言,n.,Every culture has its own proverbs.,每個文化都有自己的諺語。,saying,pro+verb=word,B2,字首-pro
provide,提供,vt.,The school provides free lunches.,學校提供免費午餐。,supply,pro+vide,A2,字首-pro
provision,提供（名詞）,n.,The provision of food is essential.,食物的供應是必要的。,supply,pro+vision,B2,字首-pro
postgraduate,研究生,n.,She is a postgraduate student.,她是一名研究生。,graduate student,post+graduate,B2,字首-post
postpone,延期；延緩,vt.,The meeting was postponed to next week.,會議延期到下週。,delay,post+pone=place,B1,字首-post
postponement,延期；延緩（名詞）,n.,The postponement was announced yesterday.,延期在昨天宣布。,delay,post+ponement,B2,字首-post
postscript,附加的資料；附筆（p.s.）,n.,She added a postscript to the letter.,她在信件中加了一個附言。,P.S.,post+script=write,B2,字首-post
